node1,Australia,Belize,Bolivia,Brazil,Cameroon,Colombia,Congo,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Fiji,Gabon,Ghana,Grenada,Guatemala,Haiti,Honduras,India,Indonesia,Jamaica,Liberia,Madagascar,Malaysia,Martinique,Mexico,Nicaragua,Nigeria,Panama,Papua New Guinea,Peru,Philippines,Puerto Rico,Samoa,Sao Tome,Sao Tome & Principe,Solomon Islands,Sri Lanka,Suriname,Tanzania,Tobago,Togo,Trinidad,Uganda,Vanuatu,Venezuela,Vietnam
Australia,1.0,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7
Belize,0.48999999999999994,1.0,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Bolivia,0.48999999999999994,0.7,1.0,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Brazil,0.48999999999999994,0.7,0.7,1.0,0.48999999999999994,0.7,0.48999999999999994,0.7,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Cameroon,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,1.0,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994
Colombia,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,1.0,0.48999999999999994,0.7,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Congo,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,1.0,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994
Costa Rica,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,1.0,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Cuba,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,1.0,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Dominican Republic,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.7,1.0,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Ecuador,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.7,0.7,1.0,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
El Salvador,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.7,0.7,0.7,1.0,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Fiji,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,1.0,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7
Gabon,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,1.0,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994
Ghana,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,1.0,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994
Grenada,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,1.0,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Guatemala,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,1.0,0.7,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Haiti,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,1.0,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Honduras,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,1.0,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
India,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,1.0,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7
Indonesia,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,1.0,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7
Jamaica,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.7,0.48999999999999994,0.48999999999999994,1.0,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994
Liberia,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,1.0,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994
Madagascar,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,1.0,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.48999999999999994
